Step,AgentID,Electricity Usage,Gas Usage,House Type,Num People,Energy Saving,Season
1,0,2398.522679086896,12045.716512116298,Medium 2-3 bedroom,3,Yes,winter
1,1,2236.8833909954587,10113.482101232,Flat/1-bedroom,1,No,winter
1,2,1905.1344902205158,12982.19970996317,Flat/1-bedroom,1,No,winter
1,3,2687.270712836367,7952.612313758048,Flat/1-bedroom,1,No,winter
1,4,1755.2205365888985,9390.504149236798,Flat/1-bedroom,1,Yes,winter
1,5,1550.3305905984505,9286.663368130563,Flat/1-bedroom,1,Yes,winter
1,6,2479.1233128168965,10336.25988098155,Flat/1-bedroom,1,No,winter
1,7,4329.608555699071,25118.33620738234,4+ bedroom,4,Yes,winter
1,8,6723.140769550639,25651.096775662052,4+ bedroom,5,No,winter
1,9,4370.464288158292,22912.019646629262,4+ bedroom,6,No,winter
1,10,4374.064032590156,17366.070585497444,Medium 2-3 bedroom,2,No,winter
1,11,3951.2708354379206,17686.140978473635,Medium 2-3 bedroom,2,No,winter
1,12,3302.8669163874924,15442.59591323649,Medium 2-3 bedroom,2,No,winter
1,13,4413.579172810263,16229.642024248438,Medium 2-3 bedroom,3,No,winter
1,14,5194.518715269764,23237.147888703625,4+ bedroom,4,Yes,winter
1,15,2847.8936230113263,17032.570451518273,Medium 2-3 bedroom,3,Yes,winter
1,16,3592.5490838908368,17493.26204683388,Medium 2-3 bedroom,2,No,winter
1,17,6011.484312179575,26410.921628763183,4+ bedroom,6,No,winter
1,18,3442.4911524425233,15802.865874243316,Medium 2-3 bedroom,2,No,winter
1,19,2592.1394314954077,10860.464218097153,Medium 2-3 bedroom,3,Yes,winter
1,20,2420.548777289347,15863.452779457339,Medium 2-3 bedroom,2,Yes,winter
1,21,2777.591276456143,8714.04912965738,Flat/1-bedroom,1,No,winter
1,22,4056.4592039766667,17439.96284788644,Medium 2-3 bedroom,2,No,winter
1,23,2648.1661184428253,19401.7700022318,Medium 2-3 bedroom,3,No,winter
1,24,6069.094821219056,25567.294243753033,4+ bedroom,4,No,winter
1,25,3266.882517553606,13135.416326489018,Medium 2-3 bedroom,2,Yes,winter
1,26,4719.445477101756,14654.717156017234,Medium 2-3 bedroom,3,No,winter
1,27,3868.6814341539944,17617.44721611759,Medium 2-3 bedroom,3,No,winter
1,28,6074.787226779503,21604.19609049251,4+ bedroom,4,No,winter
1,29,3920.6949214801443,18826.503968498,Medium 2-3 bedroom,3,No,winter
1,30,3367.2351262134353,15375.170907644226,Medium 2-3 bedroom,3,No,winter
1,31,3537.435773258884,17292.436730700992,Medium 2-3 bedroom,2,No,winter
1,32,4830.465566415042,19705.997741510273,4+ bedroom,4,Yes,winter
1,33,3543.6986962118485,15737.72419453292,Medium 2-3 bedroom,2,No,winter
1,34,3051.539186769424,14746.799579115666,Medium 2-3 bedroom,3,No,winter
1,35,3317.218018046962,20804.33603705387,Medium 2-3 bedroom,2,No,winter
1,36,3388.5409010100516,13430.191818663701,Medium 2-3 bedroom,2,No,winter
1,37,3873.8150656740804,17786.9300472917,Medium 2-3 bedroom,2,No,winter
1,38,5031.444005568268,12727.454202640802,Medium 2-3 bedroom,3,No,winter
1,39,6564.159289542721,24356.544871103066,4+ bedroom,4,No,winter
1,40,3717.144600960789,17918.20867153255,Medium 2-3 bedroom,2,No,winter
1,41,2919.0903807170007,9827.854697644692,Flat/1-bedroom,1,No,winter
1,42,5535.1178569432095,25127.80682732619,4+ bedroom,4,No,winter
1,43,3963.9285474493677,13488.059530042266,Medium 2-3 bedroom,2,No,winter
1,44,3010.976339472167,15618.691793950597,Medium 2-3 bedroom,2,Yes,winter
1,45,3037.7637507179734,10924.685379539596,Flat/1-bedroom,1,No,winter
1,46,3590.0185359826846,27846.02297135078,4+ bedroom,4,Yes,winter
1,47,3057.8312021384977,16009.084072431435,Medium 2-3 bedroom,2,Yes,winter
1,48,1483.5463081401215,9983.719086412388,Flat/1-bedroom,1,No,winter
1,49,2865.399567024294,10221.070517733815,Flat/1-bedroom,1,No,winter
1,50,6136.430197040387,23521.889472040595,4+ bedroom,4,No,winter
1,51,3240.1532630591905,11957.34543547708,Medium 2-3 bedroom,2,No,winter
1,52,5016.3010963842435,19557.94839622762,4+ bedroom,4,Yes,winter
1,53,4382.559589319479,18001.96825073276,Medium 2-3 bedroom,2,No,winter
1,54,4813.720004889617,16937.027560153303,Medium 2-3 bedroom,2,No,winter
1,55,3851.655623790875,15513.961676741079,Medium 2-3 bedroom,3,No,winter
1,56,5153.3803756136585,21600.201600447166,4+ bedroom,5,Yes,winter
1,57,2420.5766984677493,12138.239609191322,Flat/1-bedroom,1,No,winter
1,58,2454.492143720785,9241.087703114314,Flat/1-bedroom,1,No,winter
1,59,3756.9485867925164,16481.541721334073,Medium 2-3 bedroom,3,No,winter
1,60,3141.8357666136526,14467.67590552016,Medium 2-3 bedroom,2,No,winter
1,61,3940.9862172977796,17245.589729573585,Medium 2-3 bedroom,2,No,winter
1,62,7818.244710875026,27996.906826985498,4+ bedroom,4,No,winter
1,63,5614.456904123512,19107.69096561105,4+ bedroom,4,No,winter
1,64,4878.603700972001,17790.43968304597,Medium 2-3 bedroom,3,No,winter
